forest_risk_id,severity_id,fri,fti,sdr,WHP
2792,5690,-70.23459625,0.006760655,"Slow, 56-74",2983
2793,5692,-20.96417618,0.004109257,"Fast, 26-40",198
2794,5693,-15.08504295,0.001581457,"Slow, 26-40",1870
2795,5699,-33.27262878,0.004307502,"Med, 41-55",241
2796,5700,-1044.807129,0.105630726,"Fast, 56-74",358
2797,5702,-20.33513832,0.003986264,"Fast, 26-40",845
2798,5706,-48.72725677,0.006252558,"Med, 41-55",780
2799,5707,-0.512591243,0.000153325,"Med, 26-40",123
2800,5708,-69.50717926,0.007551619,"Slow, 41-55",1773
2801,5709,-2.748851538,0.000355237,"Slow, 26-40",180
2802,5718,-21.1907196,0.00368568,"Fast, 0-25",250
2803,5719,-12.08211422,0.001584437,"Slow, 26-40",1973
2804,5720,-66.64351654,0.003369674,"Med, 26-40",170
2805,5721,-51.11422729,0.005556056,"Slow, 41-55",1544
2806,5722,-52.27209473,0.006388548,"Fast, 41-55",2481
2807,5723,-9.32836628,0.001071183,"Slow, 26-40",2484
2808,5725,-16.66771698,0.00227798,"Slow, 26-40",1370
2809,5727,-50.39513397,0.004893386,"Slow, 56-74",130
2810,5728,-0.990316868,0.00064901,"Med, 0-25",704
2811,5736,-179.8697968,0.02461632,"Slow, 26-40",751
2812,5737,-13.71768665,0.001798858,"Slow, 26-40",2256
2813,5739,-267.7453918,0.036639798,"Slow, 26-40",799
2814,5746,-138.6319427,0.014031786,"Fast, 56-74",2063
2815,5751,-4.039925575,0.000560797,"Slow, 26-40",608
2816,5752,-72.1767807,0.008293564,"Med, 56-74",1023
2817,5753,-70.52017975,0.007894,"Med, 56-74",621
2818,5754,-8.814008713,0.00166701,"Med, 26-40",86
2819,5755,-271.7840881,0.033216685,"Fast, 41-55",2582
2820,5756,-45.51388931,0.008654512,"Slow, 0-25",302
2821,5759,-4.277152061,0.000763421,"Slow, 0-25",2590
2822,5764,-17.74086761,0.006705051,"Fast, 0-25",197
2823,5765,-20.72401428,0.006156523,"Med, 0-25",318
2824,5766,-789.8956299,0.134708628,"Fast, 0-25",2970
2825,5767,-47.29696655,0.004785563,"Fast, 56-74",670
2826,5768,-95.08297729,0.012151736,"Med, 41-55",3341
2827,5769,-5.729979992,0.000948807,"Med, 26-40",3746
2828,5771,-24.63628769,0.00437435,"Fast, 0-25",223
2829,5772,-0.274554282,0.0000843,"Med, 0-25",71
2830,5779,-110.8822403,0.02234298,"Fast, 26-40",20556
2831,5780,-48.63032532,0.005630259,"Med, 56-74",641
2832,5781,-53.35476685,0.015525097,"Slow, 26-40",6803
2833,5786,-71.25247955,0.009754746,"Slow, 26-40",1753
2834,5787,-15.08431244,0.00143768,"Slow, 56-74",350
2835,5788,-387.4207153,0.041835036,"Med, 75+",616
2836,5789,-1.082052231,0.000202944,"Med, 26-40",638
2837,5790,-68.77963257,0.009632776,"Med, 26-40",426
2838,5793,-51.45340729,0.006287503,"Fast, 41-55",3337
2839,5794,-92.30310822,0.018262533,"Fast, 26-40",8278
2840,5797,-47.15938187,0.010487461,"Fast, 0-25",7919
2841,5798,-339.8126221,0.034384828,"Fast, 56-74",1168
2842,5800,-6.974252224,0.000691167,"Med, 41-55",93
2843,5801,-6.514325142,0.003072421,"Fast, 0-25",426
2844,5802,-29.92180634,0.003824076,"Med, 41-55",313
2845,5804,-10.98921394,0.001088751,"Slow, 56-74",1794
2846,5807,-205.7305603,0.020256462,"Fast/Slow, 75+",575
2847,5812,-1.052336574,0.000197371,"Med, 26-40",191
2848,5815,-3.950220823,0.000544477,"Slow, 26-40",570
2849,5816,-74.44701385,0.008432234,"Slow, 41-55",980
2850,5819,-89.49799347,0.009381497,"Slow, 41-55",1566
2851,5822,-2.265618086,0.000652208,"Med, 0-25",385
2852,5823,-26.08403587,0.003135746,"Fast, 41-55",292
2853,5829,-96.91277313,0.011285858,"Med, 41-55",8260
2854,5830,-10.5403204,0.001363487,"Slow, 0-25",2491
2855,5831,-11.32359695,0.001538325,"Slow, 26-40",4577
2856,5836,-1.931857347,0.000345063,"Slow, 0-25",118
