str_id,severity_id,wwacbd,wwacbh,wwacc,wwach,wwafuel13,wwafuel40
3529,7288,1,52,15,8,8,183
3530,7290,19,13,25,25,2,122
3531,7294,38,13,45,25,8,183
3532,7295,27,13,35,25,5,145
3533,7296,1,144,35,25,2,122
3534,7297,38,13,45,25,8,183
3535,7298,19,13,25,8,2,122
3536,7300,1,263,35,57,2,121
3537,7302,19,13,25,25,2,122
3538,7306,19,13,25,8,2,122
3539,7307,11,20,55,57,10,165
3540,7308,6,13,35,57,5,122
3541,7314,6,43,35,57,9,188
3542,7315,1,144,45,25,6,147
3543,7316,8,43,45,57,9,188
3544,7319,11,20,55,57,10,165
3545,7320,27,13,35,25,5,145
3546,7323,19,13,25,25,2,122
3547,7325,27,13,35,25,5,145
3548,7330,27,13,35,25,5,145
3549,7331,27,13,35,25,5,145
3550,7332,11,20,55,57,10,165
3551,7333,1,263,35,57,2,121
3552,7336,1,263,45,57,8,161
3553,7337,8,13,45,57,8,161
3554,7338,1,144,55,25,6,147
3555,7339,1,263,55,57,8,161
3556,7341,8,20,45,57,8,183
3557,7344,11,13,55,57,10,165
3558,7346,1,144,25,25,6,147
3559,7348,8,43,45,57,9,188
3560,7352,27,13,35,25,5,145
3561,7354,8,13,45,57,10,165
3562,7355,14,13,15,25,8,101
3563,7356,27,13,35,25,5,145
3564,7360,8,13,45,57,8,161
3565,7363,1,263,55,57,8,161
3566,7364,1,263,45,57,8,161
3567,7365,6,13,35,57,5,122
3568,7367,14,13,15,8,2,122
3569,7371,1,144,55,25,6,147
3570,7372,19,13,25,25,2,122
3571,7374,1,263,25,57,2,121
3572,7376,1,144,55,25,6,147
3573,7377,4,43,25,57,2,122
3574,7380,8,39,45,57,10,165
3575,7381,14,13,15,8,5,142
3576,7382,27,13,35,25,5,145
3577,7383,14,13,15,25,8,101
3578,7388,27,13,35,25,5,145
3579,7394,16,13,65,57,10,165
3580,7395,8,39,45,57,10,165
3581,7396,19,13,25,8,2,122
3582,7398,11,20,55,57,10,165
3583,7400,8,20,45,57,8,183
3584,7402,19,13,25,25,2,122
3585,7403,38,13,45,25,8,183
3586,7406,27,13,35,25,5,145
3587,7407,1,263,45,57,8,161
3588,7409,19,13,25,25,2,122
3589,7410,8,13,45,57,8,161
3590,7412,38,13,45,25,8,183
3591,7413,8,13,45,57,8,161
3592,7416,1,263,45,57,8,161
3593,7417,11,13,55,57,10,165
3594,7419,16,16,65,57,8,183
3595,7423,14,13,15,25,1,101
3596,7427,1,144,45,25,6,147
3597,7428,1,263,55,57,8,161
3598,7434,1,144,45,25,6,147
3599,7435,27,13,35,25,5,145
3600,7437,6,13,35,57,5,122
3601,7439,6,20,35,57,8,183
3602,7442,38,13,45,25,8,183
3603,7445,4,16,25,57,8,183
3604,7448,27,13,35,8,2,121
3605,7451,27,13,35,25,5,145
3606,7454,1,144,45,25,6,147
3607,7456,19,13,25,25,5,142
3608,7458,27,13,35,8,5,145
3609,7459,1,263,65,57,8,161
3610,7460,5,36,15,25,4,147
3611,7464,19,13,25,8,2,122
3612,7466,11,20,55,57,10,165
3613,7471,27,13,35,25,5,145
3614,7472,16,13,65,57,10,165
3615,7475,19,13,25,8,2,122
3616,7478,16,20,65,57,10,165
3617,7482,1,263,35,57,2,121
3618,7483,1,263,45,57,8,161
3619,7484,1,144,45,25,6,147
3620,7485,27,13,35,25,5,145
3621,7486,19,13,25,25,2,122
3622,7488,6,43,35,57,9,188
3623,7489,19,13,25,25,5,142
3624,7490,16,20,65,57,10,165
3625,7493,19,13,25,25,2,122
3626,7494,27,13,35,25,5,145
3627,7496,19,13,25,8,2,122
3628,7497,14,13,15,25,2,121
3629,7499,1,263,35,57,2,121
3630,7501,6,7,35,57,8,183
3631,7503,14,13,15,8,1,101
3632,7505,38,13,45,25,8,183
3633,7508,1,263,35,57,2,121
3634,7509,1,263,35,57,2,121
3635,7510,8,20,45,57,8,183
3636,7511,1,263,55,57,8,161
3637,7515,1,263,55,57,8,161
3638,7517,14,13,15,25,8,101
3639,7521,8,13,45,57,8,161
3640,7522,6,43,35,57,9,188
3641,7523,27,13,35,25,5,145
3642,7527,8,13,45,57,10,165
3643,7529,38,13,45,25,8,183
3644,7531,19,13,25,25,2,122
3645,7532,19,13,25,25,2,122
3646,7535,1,144,25,25,8,161
3647,7536,8,13,45,57,10,165
