forest_topo_id,severity_id,asp,dem,slope
39311,81343,North,2661,44
39312,81344,East,2381,44
39313,81345,West,2180,32
39314,81353,East,2932,32
39315,81354,North,2135,32
39316,81355,North,1787,44
39317,81356,North,2005,32
39318,81359,North,2446,90
39319,81361,South,2124,22
39320,81362,North,2569,64
39321,81363,North,1945,32
39322,81368,East,1840,22
39323,81371,East,1755,22
39324,81372,East,2675,44
39325,81374,North,2008,32
39326,81375,North,2174,64
39327,81376,East,2501,22
39328,81380,South,2657,44
39329,81385,East,2653,22
39330,81387,East,2276,32
39331,81392,North,1996,32
39332,81394,South,2744,64
39333,81395,West,2140,22
39334,81405,East,2186,22
39335,81406,West,1638,0
39336,81409,West,1671,22
39337,81410,South,2570,44
39338,81412,North,2756,44
39339,81414,East,2631,32
39340,81416,South,2573,44
39341,81417,West,2179,44
39342,81418,South,1557,22
39343,81423,North,2127,64
39344,81424,West,1880,32
39345,81425,East,2966,22
39346,81426,West,2280,90
39347,81427,North,1859,32
39348,81429,West,2338,44
39349,81430,North,2652,32
39350,81431,South,2322,44
39351,81433,West,2233,32
39352,81436,North,1888,44
39353,81439,East,2759,64
39354,81443,North,2972,22
39355,81444,North,2494,0
39356,81446,North,1941,22
39357,81447,West,2617,44
39358,81452,North,1860,32
39359,81453,West,2420,44
39360,81454,West,2910,22
39361,81456,North,1750,22
39362,81457,North,2366,0
39363,81458,West,1534,22
39364,81461,West,1729,0
39365,81467,East,2601,44
39366,81468,East,2638,90
39367,81469,South,1616,22
39368,81470,North,1759,64
39369,81471,West,2101,22
39370,81474,South,2221,32
39371,81475,East,3064,32
39372,81476,East,2275,32
39373,81477,East,2182,22
39374,81478,North,2919,22
39375,81483,East,2805,22
39376,81484,West,2391,44
39377,81486,North,2715,44
39378,81487,East,2989,22
39379,81489,East,1997,22
39380,81491,East,2082,22
39381,81492,South,2358,32
39382,81496,East,1847,44
39383,81497,West,3032,22
39384,81499,South,1977,22
39385,81502,East,1753,0
39386,81503,East,2332,22
39387,81505,East,2527,64
39388,81508,North,2193,90
39389,81509,North,1792,90
39390,81514,East,2121,0
39391,81515,South,2860,64
39392,81517,East,1706,22
39393,81518,North,2363,64
39394,81519,North,2672,64
39395,81521,East,2135,44
39396,81522,East,1581,32
39397,81524,South,2467,44
39398,81525,North,2084,44
39399,81526,East,2188,0
39400,81528,West,1855,44
39401,81529,West,2295,32
39402,81531,East,2098,22
39403,81533,East,2843,32
39404,81534,West,2757,32
39405,81535,West,2799,44
39406,81537,West,2099,44
39407,81539,East,2771,32
39408,81546,North,2322,64
39409,81547,East,2890,22
39410,81552,South,2451,32
39411,81554,West,2295,22
39412,81558,East,1929,22
39413,81559,North,2559,22
39414,81561,East,2403,44
39415,81565,East,2509,32
